HWID1: {602386c0-ce96-11ec-9ea1-806e6f6e6963} MICHA
HWID2: {9a68d344-9c22-11ec-90db-806e6f6e6963} LOWPRESETS
HWID3: {facb35cb-a19e-11ec-a217-806e6f6e6963} ENTIDADE MAELI
HWID4: {541aef40-2724-11ec-80a1-806e6f6e6963} Mrx
HWID5: {ef9fb665-51fc-11ec-9ae5-806e6f6e6963} Eagle
HWID6: {bfe416d4-045f-11ed-a742-806e6f6e6963} Aja
HWID7: {5c516ea1-e98e-11ec-bebd-806e6f6e6963} Donak
HWID8: {f7a7a1c6-18be-11ea-874a-806e6f6e6963} Vinny
HWID9: {0ffaa5c0-1513-11ed-9be6-806e6f6e6963} Artic
HWID10: {e386da9d-57a6-11ec-9964-806e6f6e6963} PGRip
HWID11: {0886aebf-1e9e-11ed-8e1e-806e6f6e6963} Gugga
